Наименование товара;Артикул;Розничная цена;Остаток на складе
Поилка чашечная диаметр 50 мм, пластик с креплением на сетку;12110;249.00;121
Поилка чашечная диаметр 80 мм, пластик с креплением на сетку;12025;276.00;208
Поилка навесная с емкостью 0,5 л пластик;12065;386.00;7
Кормушка для голубей 2 секции, пластик;30135;994.00;8
Поилка навесная с емкостью 2 л пластик;24560;572.00;84
Поилка чашечная автоматическая для птиц и кроликов;45100;725.00;45
Поилка навесная с емкостью 2 л пластик/металл;45000;738.00;34
Поилка чашечная автоматическая для лошадей, пластик;60642;5400.00;10
Ведро с 3 сосками для поения ягнят, жеребят, телят 8 л;60320;3850.00;11
Медикатор MixRite 2.5 (0.4%-4%, 7-2500л/час) PO, LFR / Livestock;2802040P001;24800.00;122
Рефлектор 250 Вт металл, шнур 2,5 м;LP300/14G-EU;1720.00;839
Рефлектор 250 Вт металл, с переключателем Hi-Off-Lo шнур 2,5 м;LP300S/14G-EU;2030.00;61
Лампа инфракрасная 150 Вт InterHeat красная;150R125/R/2;860.00;426
Лампа инфракрасная 175 Вт InterHeat красная;175PAR/R/2;920.00;61
Туалет Catidea 44х44х25 см высокий борт, с совком, розовый;CL201-Pink;1740.00;189
Лампа белая Gasolec Orionlux 11 Вт;LP004;494.00;78
Лампа синяя Gasolec Orionlux 11 Вт;LP002;723.00;4537
Нагревательный кабель для поилок 5 Вт ;DBVK5;1990.00;12
Нагревательный кабель для поилок 10 Вт ;DBVK10;2290.00;7
Нагреватель для поилок с зажимами, диаметр 25 см;DBV25;5130.00;19
Нагреватель для поилок с зажимами, диаметр 30 см ;DBV30;4890.00;4
Крышка для обогревательной панели Comfort пластик 25х25 см;WP-25C;651.00;25
Крышка для обогревательной панели Comfort пластик 40х40 см;WP-40C;1380.00;14
Кормушка для сена, вертикальная загрузка, 15 см;R1;216.00;47
Кормушка для сена, вертикальная загрузка, 20 см;R2;236.00;21
Кормушка для сена, вертикальная загрузка, 25 см;R3;259.00;37
Кормушка для сена, вертикальная загрузка, 30 см;R4;279.00;68
Кормушка для сена, горизонтальная загрузка, 32х18х12 см;R5;349.00;100
Кормушка для сена, горизонтальная загрузка, 24х18х12 см;R5A;313.00;131
Пластиковый пол для кроликов и кур 25х25 см зеленый;KR-25;446.00;171
Сетевой адаптер для машинки Saphir ;707-720;6730.00;3
Зарядное устройство для машинки Saphir;707-822A;7430.00;3
Нагреватель Brinsea Ova-Easy Series II;13_41;3270.00;7
Автокормушка 10,6 л для сухого корма, белая;PF-21B;7060.00;15
Автокормушка F1-Camera 4,3 л для сухого корма с видеокамерой, Wi-Fi (IOS/Android), черная;F1-Camera-Black;13400.00;31
Ошейник для дрессировки, дальность 400 м;PTS-018;6690.00;6
Ошейник для дрессировки, дальность 800 м;PET-613;5150.00;5
Машинка для стрижки собак и кошек Petwant белая/красная;PHC-816;3400.00;2
Кейс для машинки для стрижки Heiniger X-Series;708-190;2370.00;2
Аккумулятор для машинок серии Saphir;707-771;5310.00;2
Поилка чашечная автоматическая 4 л, пластик, с боков. подв. 1/2;2158A0000;4110.00;9
Болезни декоративных птиц (Квинтен Д.);BK-021;444.00;3
