Наименование товара;Артикул;Розничная цена;Остаток на складе
Миска игровая 15.5x4.7 см, 350 мл, фиолетовый;BO-3166-4;388.00;17
Перосъёмные пальцы PR133-65;DI133SH65;42.00;14340
Кормушка бункерная COLOMBI 5 кг ;1987AC000;1660.00;4
Насадка Heiniger 1/16 2 мм;707-981;932.00;1
Насадка Heiniger 1/2“ 14 мм;707-984;887.00;3
Насадка Heiniger 3/4“ 18 мм;707-985;887.00;2
Насадка Heiniger 1“ 25 мм;707-986;1190.00;3
Насадка Heiniger 1 1/4“ 32 мм;707-987;1230.00;2
Поворотная головка для машинки Heiniger Expert ;717-701;5410.00;1
Корпус стригальной головки для машинки Heiniger Expert ;708-241;4520.00;2
Когтеточка-лежак 40х40х50 см, с игрушкой, кремовый;PS260-1;5030.00;44
Когтеточка-домик 45х40х50 см,  черный;PS249-1;10500.00;39
Когтеточка-домик 50х40х50 см, черный;PS249-2;10500.00;28
Когтеточка-комплекс 40х40х90 см, коричневый;PS270;8960.00;80
Когтеточка-пуфик 50х35х60 см, коричневый;PS344;11000.00;37
Когтеточка-пуфик 50х35х60 см, белый;PS344-1;11000.00;26
Когтеточка-пуфик 50х35х60 см, бежевый;PS344-2;11000.00;35
Когтеточка-комплекс 48х48х141 см, бежевый;SBE911;16100.00;34
Когтеточка-домик 35х35х75 см, бежевый;SBE1119-75sm;8640.00;152
Когтеточка-коврик 50х32 см, бежевый;SBE804;1250.00;229
Когтеточка-комплекс 45х45х197 см, бежевый;SBE1419;15200.00;3
Когтеточка-пирамида 24х24х40 см, коричневый;SBE1408;1380.00;60
Когтеточка-коврик 36х42х24 см, черный;SBE130130;2060.00;173
Когтеточка-комплекс 40х35х109 см, бежевый;SBE896;6450.00;111
Когтеточка-комплекс 60х30х96 см, бежевый;SBE1303;8370.00;129
Когтеточка-комплекс 50х35х116 см, бежевый;SBE1418;6220.00;222
Кран шаровой водопроводный 10х10 мм;KK10;319.00;35
Когтерез Catidea кремовый;CG12-Cream;456.00;20
Когтерез Catidea серый;CG12-Rock;456.00;16
Кормушка бункерная 3,5 кг пластик с разделительной решеткой на ножках;2203AF000;1460.00;25
Кормушка бункерная 7 кг пластик с разделительной решеткой на ножках;2198AF000;2070.00;34
Кормушка бункерная 15 кг пластик с разделительной решеткой на ножках;2199AF000;2410.00;27
Кормушка бункерная 10 кг пластик на ножках;2200AF000;2130.00;13
Кормушка бункерная 18 кг пластик на ножках;2201AF000;2740.00;21
Бачок накопительный, 1 подключение;0139A0000;3170.00;22
Поилка вакуумная 7 л MX;MX-34;835.00;14
Кормушка-поилка навесная 2 секции пластик;MX-7;222.00;61
Гнездо для голубей диаметр 23 глубокое;MX-18;245.00;15
Подкладное яйцо для голубей разборное;MX-22;31.00;205
Решетка для пола 25x25x7см, сборная (16 шт.);MX-45;2990.00;35
Поилка вакуумная 3 л ;MX-32;529.00;20
Инкубатор Janoel 24 автоматический ;JNL-24;8510.00;122
Кормушка-поилка навесная диаметр 12 см пластик;2112A0000;160.00;131
Шланг диаметр 20 мм, мягкий, 1 м;0103A0000;302.00;30
Соединение крестовое диаметр 10 мм;0516A0000;72.00;368
Инкубатор Janoel 42 автоматический;JNL-42;7820.00;522
Стопорное кольцо для вала размер 6;706-524;7.00;5
Инкубатор Rcom 10 PRO;PX-10;15700.00;12
Инкубатор для яиц рептилий Rcom 90 MAX;MX-R90;25300.00;9
Инкубатор для яиц рептилий Rcom 90 PRO;PX-R90;34900.00;5
Гидропонная установка Rfarm 850 MAX;MX-850;66800.00;1
Помпа Rcom APS PRO;K20-APS-PRO-EU;6520.00;11
Гигрометр/термометр Rcom Digilog 3;PX-V3-10;2640.00;47
Поилка вакуумная 0,75 л;1983AF000;241.00;577
Насадка резиновая для ножек;MP02037;156.00;5
Шланг для молока прозрачный (14х23мм);MP02061;233.00;6
Шланг резиновый двойной (7х13мм);MP02062;187.00;14
Маслораспылитель в комплекте;KP01025;2180.00;2
Бачок маслораспылителя;MP01061;233.00;2
Ручка резиновая;MP02036;179.00;5
Заглушка для коллектора внешняя;MP01047;140.00;4
Доильный аппарат Cullas G-1SK для коров;G-1SK;62200.00;3
Шланг для доильного аппарата;END-003;74.00;10
Шланг для доильного аппарата;END-005;74.00;10
Бирки ушные MultiFlex U двойные;MF-U;61.00;586
Бирки ушные MultiFlex A двойные, оранжевые ;MF-A-ORANGE;61.00;706
Бирка ушная MSTag Jumbo мама желтая;0402056YEL-100;34.00;253
Бирка ушная MSTag Jumbo папа желтая;0402055YEL-100;56.00;40
Бирка ушная MSTag Medium папа желтая;0402050YEL-100;40.00;270
Инкубатор Rcom 10 PRO Plus;PX-10P;19000.00;22
Машинка Heiniger Xpert 2-Speed для стрижки овец;708-220-00;36500.00;15
Измельчитель зерна Фермер ИЗЭ-14М 320 кг/час;ИЗЭ-14М;4750.00;3
Измельчитель зерна Фермер ИЗЭ-25М 400 кг/час;ИЗЭ-25М;5050.00;6
Домашний кормоцех универсальный Оптимус 3в1;ДКУ-05;7030.00;7
Выводной инкубатор Rcom Maru 100 Hatcher/Brooder Deluxe;MX-H100BD;73700.00;4
Выводной инкубатор Rcom Maru 380 Hatcher/Brooder Deluxe;MX-H380BD;83700.00;7
Шланг диаметр 9х10 мм, мягкий, 1 м;0101A0000;76.00;2555
Машинка Heiniger Xperience 2-Speed для стрижки лошадей и КРС;708-020-30;29800.00;15
Инкубатор Rcom King Suro 20 MAX без охлаждения;MX-SURO-SS;19700.00;21
Комплект насадок Heiniger (2 - 32 мм);707-980;6670.00;2
Кормушка бункерная 5 кг пластик для цыплят с крышкой;1850AC000;1830.00;7
Кормушка бункерная 10 кг пластик без крышки;0445A0000;1530.00;8
Кормушка бункерная 18 кг пластик без крышки;0471A0000;2060.00;20
Кормушка бункерная 18 кг для цыплят;1849A0000;2060.00;1
Разделители для универсального лотка ;RCM-H623-10;53.00;171
Плата управления ASM Rcom 50 MAX ;H50-A604M-10;10500.00;11
Плата управления ASM Rcom 50 PRO;H50-A604P-10;17200.00;8
Плата управления ASM Rcom 50 USB ;H50-A604U-10;31300.00;1
Мотор помпы системы увлажнения Rcom Brooder;B10-A301-11;1760.00;3
Датчик APS TH V2 ASM Maru old;RCM-A301-10;2630.00;6
Мотор помпы системы увлажнения С38 Maru old;C38-A306-10;2630.00;10
Фиксаторы направляющих поворота MARU 200/500;S30-010-10;1000.00;2
Испаритель для MARU в сборе (с контролем уровня воды);C19-A300H-12;9310.00;4
Опора для универсального лотка MARU;C38-H757-10;18.00;608
Испаритель для MARU;C38-611-12;1260.00;6
Лицевая панель управления (в сборе) Maru 1000;C1K-A302MH-11;23700.00;6
Лицевая панель управления (в сборе) MARU ;C38-A302MH-11;23200.00;4
Поворотное устройство MARU;C38-A310H-10;10900.00;9
Микровыключатель поворотного устройства MARU;C38-308-10;527.00;15
Кормление лошадей и пони. Полное руководство (автор Бишоп Р.);978-5-4238-0271-4;517.00;3
Все о чистке лошади (автор Хендерсон К.);978-5-4238-0256-1;199.00;4
Термогигрометр комнатный с часами и функцией будильника REXANT;70-0511;718.00;8
Термометр электронный с часами и беспроводным выносным датчиком REXANT;70-0592;1770.00;7
Термометр (термощуп) цифровой REXANT RX-512;70-0512;363.00;2
Электропастух Protector 11;6010011;43500.00;20
Электропастух OLLI 1000 ;6010000;40400.00;5
Электропастух OLLI 950;6009500;25900.00;32
Электропастух OLLI 600;6006000;20700.00;22
Электропастух OLLI 300;6003000;16600.00;27
Электропастух OLLI 100;6001010;12200.00;26
Электропастух OLLI 250 B PLUS;6000250;20700.00;8
Электропастух OLLI 180 B;6000180;16400.00;47
Электропастух OLLI 122 B;6000122;19700.00;30
Электропастух OLLI 9.07 B;6000907B;19700.00;16
Электропастух OLLI 9.07S;6000907S;25900.00;13
Электропастух OLLI SG 3;6000003;9320.00;17
Адаптер сетевой для Olli 9.07В и 9.07S;6059900;2280.00;3
Солнечная панель в комплекте Olli 20W;6001615;20700.00;3
Тестер измеритель напряжения электроизгороди Digitester Plus ;6020022;4240.00;21
Тестер измеритель напряжения электроизгороди Supertester Plus ;6020032;1860.00;40
Ручка для калитки, 2 шт.;6051213;269.00;54
Ручка для калитки Shockteq, 2 шт.;6051214;497.00;31
Калитка для электропастуха с гибким шнуром, 4,5 м;6052029;2590.00;4
Калитка для электропастуха пружинная ;6051016;828.00;216
Кабель для соединения двух ярусов зимней ленты;6051024;1240.00;17
Комплект соединителей для зимней ленты;3810950;3730.00;20
Соединитель для лент шириной 10-12 мм, 10 шт.;6051037;621.00;11
Набор соединителей для лент шириной 10 – 40 мм;3810951;2380.00;25
Зажим пластинчатый для проводов 3 мм, 10 шт.;6050041;414.00;80
Цепь коммутационная для электроизгороди (2 позиции выключателя);6051025;952.00;5
Грозозащитный разрядник;6050095;1240.00;88
Кабель специальный высоковольтный, 15 м;6051032;2480.00;5
Шест заземления с соединительным кабелем;3810944;1100.00;49
Знаки предупредительные для электроизгороди, комплект 5 шт.;6050038;621.00;23
Сеть для овец, электрическая, 50 м;6031020;11200.00;9
Лента многожильная 12 мм / 200 м;6031026;1660.00;26
Лента многожильная 20 мм / 200 м;6031028;2280.00;77
Лента многожильная 40 мм / 200 м;6031035;3930.00;52
Шнур Shockteq многожильный Super-6, 3 мм / 200 м;6030033;1040.00;79
Шнур Shockteq многожильный Super-6, 3 мм / 1000 м;6030032;4760.00;638
Лента Shockteq многожильная зеленая 12 мм, 200 м;6031027;2070.00;14
Лента Shockteq зимняя 40 мм, 200 м;6031019;4970.00;53
Изолятор Olli ответвления, 100 шт.;6050071;870.00;397
Изолятор кольцевой Olli, 100 шт.;6051623C;1970.00;255
Изолятор для лент Olli, 100 шт.;6051620B;2690.00;20
Изолятор комбинированный DUO, 50 шт.;6050022;1370.00;86
Изолятор для калиток, 2 шт.;6051017;373.00;34
Изолятор для калиток ленточных ограждений Shockteq, 2 шт.;6051170;952.00;14
Изолятор комбинированный для лент и проводов, 25 шт.;6050200;870.00;9
Изолятор на стекловолоконные столбики и арматуру, 25 шт.;6050100;704.00;81
Изолятор орешковый для тросов и стальных проводов, 10 шт.;6051631;290.00;38
Изолятор для стекловолоконных столбиков, 25 шт.;6042602;621.00;45
Столбик стекловолоконный Shockteq 110 см, 50 шт.;6042603;13700.00;10
Столбик стекловолоконный  Shockteq 140 см, 50 шт.;6042604;17800.00;27
Соединитель для лент шириной 20-40 мм, винтовое крепление, 5 шт.;6053027;1140.00;75
Изолятор для металлической проволоки/провода, 55 шт.;6050310;2170.00;10
Изолятор с замком для стальной проволоки, 25 шт.;6050312;745.00;44
Натяжитель проводов зубчатый ;6050017;1040.00;20
Рукоять для зубчатых натяжителей;6050020;1200.00;4
Натяжитель катушечный;6050030;663.00;20
Рукоять для катушечного натяжителя;6050031;1550.00;4
Гнездо для кур MyCozyNest;LN5;2830.00;8
Автокормушка в клетку 2,3 л для сухого корма, белая;F4;6720.00;17
Плоская пружина для машинки Heiniger Xperience ;706-518;413.00;17
Автокормушка 4,3 л для сухого корма без видеокамеры, Wi-Fi (IOS/Android), черная;F1-WiFi-Black;9310.00;24
Машинка для стрижки собак и кошек Petwant черная;PHC-720;3710.00;86
Машинка для стрижки собак и кошек Petwant белая USB;PHC-710;2260.00;39
Механизм поворота яиц King Suro 20;K20-A508EU-10;5800.00;4
Опора нагревателя A;K20-H512-10;105.00;4
Ножка от механизма поворота King Suro 20;K20-A5081EU-10;4040.00;2
Коленчатый рычаг King Suro 20;K20-H505-10;263.00;3
Подушка для выведения King Suro 20;K20-H535-10;281.00;19
Силиконовая трубка King Suro 20;K20-H538-10;176.00;72
Датчик TH V4 ASM Rcom 20/50;RCM-A310-11;2110.00;6
Двигатель поворота с шестерней Rcom 20/50;H20-A223-10;2990.00;7
Блок контроля влажности ASM Rcom 20;H20-A216-10;2900.00;16
Блок контроля влажности ASM Rcom 50 ;H50-A610-10;3860.00;13
Брудер-павильон Curadle Pet Brooder 60;MX-B60N;60300.00;5
Розетка с электронным таймером REXANT RX - 31А;11-6010;853.00;20
Розетка с механическим таймером REXANT RX - 21;11-6001;421.00;6
Ультразвуковой отпугиватель кротов на солнечной батарее;71-0017;481.00;5
Ультразвуковой отпугиватель вредителей REXANT с LED индикатором;71-0018;555.00;13
Отпугиватель вредителей REXANT с изменяемой частотой излучения;71-0009;805.00;2
Термогигрометр комнатно-уличный REXANT;70-0515;785.00;12
Термометр электронный REXANT с дистанционным датчиком измерения температуры;70-0501;421.00;10
Лоток на 7 маленьких яиц для инкубатора Rcom MINI;SR-A07-10;703.00;8
Гибкий вал с Worm соединением 200 см;722-660;29200.00;2
Поилка чашечная для крупной птицы, пластик, с креплением на сетку;DHSZ-DCLR;552.00;24
Поилка чашечная для крупной птицы, пластик, с винтовым креплением на сетку;NHP-DCLR;585.00;22
Поилка чашечная для мелкой птицы, пластик, с винтовым креплением на сетку;NHP-DCSR;532.00;1
Кормушка бункерная VENERE 8 кг пластик с разделительной решеткой и крышкой;012/40;1500.00;55
Кормушка бункерная WONDER 18 кг пластик с разделительной решеткой с крышкой;012/50;2170.00;3
Кормушка диаметр 20 см серая для птиц;MX-9;376.00;50
Кормушка диаметр 20 см 3 отделения серая для птиц;MX-10;456.00;30
Кормушка диаметр 22 см прозрачная для птиц;MX-11;452.00;24
Кормушка диаметр 22 см 3 отделения прозрачная для птиц;MX-12;448.00;81
Поилка вакуумная 5 л MX;MX-33;705.00;47
Поилка вакуумная 1 л ;MX-30;314.00;120
Поилка вакуумная 1,5 л ;MX-31;360.00;65
Поилка вакуумная 3,5 л с окошками для голубей;MX-2;720.00;72
Поилка вакуумная 5 л MX с окошками для голубей;MX-4;858.00;58
Гнездо для голубей диаметр 19 см;MX-16;123.00;200
Гнездо для голубей диаметр 23 см;MX-17;138.00;200
Решетка для пола 34x36х2 см ;MX-21;138.00;400
Подкладное яйцо для попугаев;MX-40;13.00;188
Подкладное яйцо для канареек;MX-39;10.00;334
Подкладное яйцо для голубей;MX-23;27.00;252
Подкладное яйцо для фазанов;MX-35;57.00;155
Подкладное яйцо для кур среднее;MX-36;77.00;1608
Подкладное яйцо для кур;MX-37;96.00;2201
Подкладное яйцо для уток;MX-38;123.00;1014
Кольцо для птиц 7 мм одного цвета, 100 шт.;MX-24;222.00;41
Кольцо для птиц 7 мм разного цвета, 100 шт.;MX-25;284.00;127
Кольцо для птиц 8 мм одного цвета, 100 шт.;MX-26;326.00;73
Кольцо для птиц 8 мм разного цвета, 100 шт.;MX-27;326.00;118
Кольцо для птиц 10 мм, 100 шт.;MX-28;376.00;100
Кольцо для птиц 12 мм, 100 шт.;MX-41;468.00;90
Кольцо для птиц 14 мм, 100 шт.;MX-42;441.00;347
Кольцо для птиц 16 мм, 100 шт.;MX-43;517.00;322
Кольцо для птиц 18 мм, 100 шт.;MX-44;682.00;99
Поилка вакуумная 7 л с окошками для голубей;MX-6;1100.00;48
Измельчитель зерна ТермМикс 450 (1150 Вт);ТМ-450;4310.00;8
Кольцо для птиц 8 мм, 100 шт.;R004;923.00;238
Ящик для перевозки птицы складной 40х28х23 см брезент;J99-1;3690.00;15
Ящик для перевозки птицы складной 50х35х23 см брезент;J99-2;4150.00;7
Насест для голубей, разборный;J121;123.00;63
Мерный стакан с грушей;J84;369.00;152
Емкость для воды 18 л для системы поения;1978A0000;1600.00;27
Ловушка для кротов;2054AF000;657.00;19
Ловушка для насекомых;0069A0000;699.00;15
Живоловка, устройство для приманки;1690A0000;2090.00;11
Лопата JOY;2040F0000;1570.00;2
Лопата GARDEN;2044F0000;1750.00;5
Муфта жесткая 14 см с уплотнительными кольцами на трубу 22х22 мм;4368L;159.00;65
Поилка навесная с емкостью 1 л;DC1000G;309.00;77
Cтопорное кольцо DIN6799 диаметр 3,2;707-856;11.00;8
Туалет-домик XL Catidea 63х48х41 см, с совком, кремовый;CL101-XL;3980.00;113
Фильтр для автопоилки фонтана PW-101, сменный;FP101;569.00;151
Плата PCB для Heiniger Xplorer;708-480;3210.00;10
Щетки угольные для X-Series;708-118;140.00;17
Сменное лезвие Heiniger для собак 8.5/2.8 мм;707-941-A;4910.00;4
Сменное лезвие Heiniger для собак 5/6.0 мм;707-957-A;5860.00;10
Нижний нож Heiniger Raging warrior для кроссбредных пород овец, 96 мм;714-056-A;3080.00;12
Нижний нож Heiniger Blizzard универсальный для зимней шерсти овец, 94,5 мм;714-060-A;4310.00;2
Верхний нож Heiniger Diamond для грубошерстных овец, 3,7 мм;714-011-A;719.00;25
Нижний нож Heiniger Highlander для зимней шерсти полугрубошерстных овец, 97 мм;714-066-A;4310.00;4
Нижний нож Heiniger Calibre для полугруборшерстных и грубошерстных овец, 93,5 мм;714-098-A;3080.00;14
Нижний нож Heiniger XLR-8 для полугрубошерстных и полутонкорунных овец, 98 мм;714-106;3080.00;6
Набор запчастей с шестерней малый для машинки Heiniger Xtra;717-728;2100.00;2
Карбоновые щетки с пружиной и защитный колпачок XTRA/HANDY;701-633;558.00;5
Набор запчастей для головки машинки Heiniger Xtra;717-729;5970.00;3
Комплект запасных частей для мотора VS-84/HC;701-675;1160.00;6
Набор запчастей для мотора VS-84 240V машинки Xtra ;701-666-A;10600.00;1
Гнездо для голубей диаметр 21 см летнее;J10;138.00;842
Кольцо для птицы спиральное 28 мм, 100 шт.;049/28M;2640.00;5
Очки для птиц, уп. 100 шт.;048/01;1320.00;9
Стрелы для очков, уп. 100  шт.;049/00;474.00;10
Кольцо для птицы спиральное 10 мм, 100 шт.;049/10M;1780.00;5
Кольцо для птицы спиральное 12 мм, 100 шт.;049/12M;2140.00;4
Кольцо для птицы спиральное 14 мм, 100 шт.;049/14M;2140.00;7
Кольцо для птицы спиральное 16 мм, 100 шт.;049/16M;2140.00;2
Прокладка SAPHIR;707-848;70.00;13
Плата для машинки Saphir;707-833;2190.00;6
Ручные электронные весы (безмен) до 50 кг;72-1100;642.00;5
Поилка под бутылку напольная диаметр 14 см пластик;1938F0000;144.00;130
Поилка под бутылку напольная диаметр 23 см пластик;1939F0000;263.00;78
Поилка вакуумная COLOMBI 8 л с окошками для голубей;1985AF000;1680.00;3
Поилка вакуумная COLOMBI 3 л с окошками для голубей;1984AF000;1040.00;13
Поилка поплавковая RAPID CLEAN 18 л;1979AF000;2340.00;30
Поилка поплавковая RAPID CLEAN 12 л;2011AF000;2020.00;26
Поилка сифонная 20 л;1793A0000;3170.00;10
Поилка вакуумная 3,5 л;0162A0000;385.00;70
Поилка вакуумная 1,5 л;0161A0000;258.00;116
Поилка вакуумная 5 л;0163A0000;452.00;9
Поилка вакуумная 10 л;0789A0000;965.00;10
Поилка сифонная 30 л GOLD пластиковые ножки;2062A0000;4360.00;50
Поилка под бутылку TOCE для птиц, пластик;1944A0000;370.00;17
Поилка-кормушка навесная 60 см оцинкованная сталь CF;035/40;824.00;211
Кормушка лотковая 30 см оцинкованная сталь 16 отверстий для цыплят;032/10;600.00;65
Кормушка лотковая 40 см оцинкованная сталь 20 отверстий для цыплят;032/20;501.00;47
Кормушка лотковая 50 см оцинкованная сталь 24 отверстий для цыплят;032/30;737.00;33
Кормушка навесная 70 см оцинкованная сталь;034/10;697.00;89
Кормушка навесная 80 см оцинкованная сталь;034/20;772.00;338
Кормушка навесная 90 см оцинкованная сталь;034/30;851.00;146
Кормушка навесная 100 см оцинкованная сталь;034/40;926.00;135
Кормушка бункерная ALTAIS 18 кг пластик;012/03;2390.00;3
Кормушка бункерная для кроликов 1 секция металл без крышки ;021/10;909.00;46
Кормушка бункерная для кроликов 3 секции металл с крышкой;021/54;1360.00;6
Прибор для определения влажности в инкубаторе УРИ;uri1;3930.00;8
Поилка чашечная для крупной птицы, пластик, с винтовым креплением на сетку;4039;495.00;34
Поилка чашечная для мелкой птицы, пластик, с распорным креплением на сетку ;4028;422.00;40
Поилка чашечная для мелк. птицы, пластик, с винтовым креплением на сетку;4038;467.00;26
Поилка чашечная для крупной птицы, пластик, с распорным креплением на сетку;4029;463.00;60
Поилка сифонная 30 л пластиковые ножки;4030C;3540.00;48
Поилка вакуумная 3 л;4012;423.00;438
Поилка вакуумная 5 л Corti;4013;508.00;26
Поилка вакуумная 10 л;4018;972.00;15
Поилка ниппельная для птиц/кроликов с винтовым креплением;9003;201.00;413
Поилка ниппельная для птиц/кроликов с распорным креплением;9002;169.00;792
Муфта жесткая 8 см с уплотнительными кольцами на трубу 22х22 мм;4368;133.00;17
Переходник для квадратной трубы 22х22 мм диаметр  20 мм;4369;37.00;33063
Заглушка для переходника диаметр 20 мм;4314;20.00;23062
Кормушка лотковая 100 см пластик для кур;8346;1080.00;29
Кормушка лотковая 75 см пластик для кур;8347;821.00;88
Кормушка лотковая 50 см пластик для кур Corti;8348;748.00;81
Кормушка лотковая 50 см пластик для цыплят Corti;8349;576.00;40
Кормушка лотковая 40 см пластик для цыплят;8350;497.00;88
Кормушка лотковая 30 см пластик для цыплят;8351;387.00;87
Поилка под бутылку пластик/оцинкованная сталь;9008;183.00;123
Пластиковый выпускной переходник диаметр  10мм C;9314;80.00;2541
Инструмент скобообжимной для клеток 6 мм;9410;3570.00;3
Инструмент скобообжимной для клеток 4 мм;9411;3570.00;2
Скобы 4 мм, 1 кг;9412;1290.00;12
Скобы 6 мм, 1 кг;9413;1350.00;25
Переходник для квадратной трубы 22х22 мм на диаметр  10 мм C;9307;25.00;3097
Переходник для квадратной трубы 22х22 мм диаметр  26,6 мм;4725;34.00;106
Заглушка 3/4, винтовая, пластиковая;4744;83.00;23
Тройник диаметр  20 мм;4324;91.00;48
Тройник диаметр  10 мм С;9301;29.00;3616
Крышка для бункерной кормушки для артикулов 8250, 8251, 8252;8254;173.00;128
Кормушка бункерная 12 кг пластик с разделительной решеткой ;8357;2140.00;20
Инкубатор Rcom Mini PRO;PX-03;8710.00;42
Перосъёмные пальцы PR144-50;DI144SH50;39.00;910
Овоскоп Rcom Candler 200;RH-RCM-887;1410.00;27
Каплеуловитель на круглую трубу диаметр 26,6 мм, на одной ножке;4613TT;70.00;1287
Поилка чашечная автоматическая 3 л  пластик с боковым подводом 1/2;6060;2850.00;52
Мышеловка 20 см;0043A0000;1320.00;31
Мышеловка / крысоловка 40 см;0050A0000;2790.00;15
Поилка под бутылку пластик;9005;207.00;31
Поилка ниппельная с бачком DERBY 0,5 л 45° для кроликов и птиц;2015A0000;525.00;70
Поилка ниппельная с бачком DERBY 0,5 л 90° для кроликов и птиц;2014A0000;525.00;80
Поилка сифонная 30 л Saturno металлические ножки;006/10;4120.00;41
Зажим пластиковый со стальной зубчатой шайбой;4747;38.00;5100
Переходник T-образный диаметр  3/4 для круглой трубы;437501;318.00;3
Кран с патрубком для шланга;4781V;535.00;71
Переходник выпускной угловой  диаметр  22 мм, белый;4208;184.00;100
Переходник для квадратной трубы 22х22 мм на диаметр  10 мм (внутренний);43912G;81.00;630
Соединение угловое диаметр  10 мм C;9313;40.00;374
Удлинитель угловой,  внешняя/внутреняя резьба 1/8“-1/8“;4332;48.00;194
Удлинитель 5,5 см,  внешняя/внутреняя резьба 1/8“-1/8“;4304;44.00;1156
Гайка для артикула 10041-1/10041-4;931402;46.00;1387
Шайба для артикула 9314, 10041-1/10041-4;931401;5.00;227
Инкубатор для яиц рептилий Rcom 60 MAX;MX-R60;14100.00;2
Измельчитель зерна Уральские хрюшки 300 (800 Вт);ИЗУ-300/КР;4130.00;11
Измельчитель зерна Уральские хрюшки 350 (900 Вт);ИЗУ-350/КР;4370.00;10
Измельчитель зерна ИЗ-05 200 (800 Вт);ИЗ-05;4040.00;5
Измельчитель зерна ИЗ-05М 250 (1200 Вт);ИЗ-05М;4870.00;17
Лампа инфракрасная керамическая HQ 75 Вт черная;75-70105;720.00;328
Лампа инфракрасная керамическая HQ 100 Вт черная;100-90105;736.00;658
Лампа инфракрасная керамическая HQ 200 Вт черная;200-90105;720.00;900
Поилка ниппельная с каплеуловителем двойная;NT-2db;106.00;2128
Лущилка для кукурузы Ritmo Premium ручная;2172F0000;4320.00;3
Малый набор запчастей для машинок X-SERIES;708-270;1340.00;2
Переходник Т-образный  для трубы 22х22 мм ;4355-04;105.00;214
Емкость для воды 12 л для системы поения;2013A0000;1390.00;58
Поилка поплавковая RAPID CLEAN 18 л на ножках;2082AF000;3110.00;99
Поилка поплавковая RAPID CLEAN 9 л диаметр 32 см;2076AF000;1730.00;16
Поилка поплавковая RAPID CLEAN 6 л на ножках;2079AF000;2360.00;13
Поилка поплавковая RAPID CLEAN 9 л на ножках;2080AF000;2660.00;46
Поилка поплавковая RAPID CLEAN 6 л диаметр 36 см;2073AF000;1750.00;14
Поилка поплавковая RAPID CLEAN 9 л диаметр 36 см;2074AF000;1920.00;9
Кормушка бункерная для кроликов 1 секция пластик с пластиковой крышкой;2072AF000;917.00;54
Заглушка ниппеля поения 1/8 ;0107A0000;31.00;50
Заглушка для переходника диаметр 10 мм;0105A0000;14.00;2850
Тройник диаметр 10 мм N;0109A0000;44.00;1022
Соединение угловое диаметр 10 мм N;0546A0000;36.00;644
Переходник для круглой трубы диаметр 20 мм на диаметр 10 мм;0499A0000;276.00;59
Пластиковый выпускной переходник диаметр 10 мм N;0097A0000;77.00;688
Поилка сифонная 20 л на ножках;2083A0000;3910.00;6
Переходник для квадратной трубы 22х22 мм на диаметр 10 мм N;0041A0000;36.00;938
Пыленепроницаемый бак;00000224G;3140.00;1
Переходник для квадратной трубы 22х22 мм на диаметр 20 мм;0042A0000;36.00;4339
Заглушка для переходника диаметр 20 мм;0106A0000;26.00;4803
Эмаскулятор Хаусмана 27 см;AI-10800;2750.00;3
Бирка ушная двойная красная малая;AI-10921;46.00;124
Туалет Catidea 46х36х15 см с совком, кремовый;CL213-Cream;1000.00;56
Измельчитель зерна ТермМикс 500 (1300 Вт);ТМ-500;5340.00;20
Абиссинская кошка. Содержание и уход (цвет) / Белова К.А.;978-5-9934-0134-8;226.00;1
Йоркширский терьер (Книга+DVD диск) / Вуд Д.;978-5-98435-786-9;745.00;1
Зернодробилка Davide 4V 550 Вт;1971A0000;19700.00;2
Клетка для цыплят на 20 голов 102 см;177/10C;11800.00;4
Клетка для цыплят на 25 голов 120 см;177/20;11800.00;2
Клетка для перепелок на 20 голов 99 см для откорма;179/00C;10400.00;1
Клетка для перепелок на 30 голов 99 см для несушек с яйцесборником;179/20C;10600.00;1
Клетка для кроликов 102 см с гнездом для самки;191/10C;13800.00;3
Клетка для кроликов 70 см односекционная ;089/00;13400.00;1
Инкубатор Rcom Maru 380 Deluxe MAX;MX-380CD;115300.00;8
Инкубатор Rcom Maru 1000 Deluxe MAX;MX-1000CD;222200.00;10
Инкубатор Rcom Mini с овоскопом;PX-03P;12400.00;23
Инкубатор Rcom 20 MAX;RMX-20;24800.00;6
Кормушка бункерная 18 кг пластик с разделительной решеткой без крышки для цыплят;8251;2000.00;1
Инкубатор Rcom 50 MAX;RMX-50;46000.00;13
Инкубатор Rcom 50 PRO;PX-50;58600.00;34
Шланг диаметр  9х12 мм, средней жесткости, 1 м;9101;79.00;2467
Машинка Heiniger Xpert для стрижки овец;708-200-00;35200.00;21
Машинка Heiniger Xperience для стрижки лошадей и КРС;708-000-30;29300.00;5
Кормоизмельчитель КР03 (900 Вт);КР003;4630.00;38
Машинка Heiniger Xplorer для стрижки лошадей и КРС с 2-я аккумуляторами;708-400-30A2;41900.00;3
Клетка для цыплят суточных, перепелов 101 см ;179/30C;10300.00;3
Клетка для кроликов 102 см двухсекционная для отлучения ;181/30C;12800.00;9
Универсальный поддон для яиц;C38-H756-10;351.00;82
Автопоилка фонтан PW-101 3 в 1;PW-101;3070.00;115
Сменное лезвие Heiniger для кошек 40/0.25 мм;707-910-A;4540.00;1
Сменное лезвие Heiniger для кошек и собак 10/1.5 мм;707-930-A;4470.00;15
Перосъёмная машина NT-600A для уток и гусей;NT-600A;41400.00;189
